# index, _pos
513,"array([ 134.30689676, -139.30744659])"
514,"array([ 130.51357313, -119.81410315])"
515,"array([ 131.79864577, -131.74696461])"
516,"array([ 105.30770098, -134.32289834])"
517,"array([ 126.0757352, -115.9310697])"
518,"array([ 140.39236537, -140.99667408])"
519,"array([ 140.06959698, -121.4284571 ])"
520,"array([ 139.12181282, -127.32077559])"
521,"array([ 150.78919852, -104.61187067])"
522,"array([ 129.09805904, -141.55003168])"
523,"array([ 146.53290416, -125.63955515])"
524,"array([ 143.81184948, -150.60752015])"
525,"array([ 141.38483669, -140.02064767])"
526,"array([ 140.82137149, -136.75679346])"
527,"array([ 124.80824271, -157.83220517])"
528,"array([ 135.98995483, -138.77318214])"
529,"array([ 152.14399375, -129.89670581])"
530,"array([ 131.42560614, -117.59009113])"
531,"array([ 151.47774401, -145.3934096 ])"
532,"array([ 147.36737063, -144.88067459])"
533,"array([ 139.05680262, -157.75953006])"
534,"array([ 136.1002778 , -156.70106043])"
535,"array([ 132.71027409, -122.91860405])"
536,"array([ 157.52402812, -130.35547868])"
537,"array([ 138.75964879, -141.00807182])"
538,"array([ 131.45757286, -147.50327389])"
539,"array([ 133.44680362, -141.78667472])"
540,"array([ 141.86554359, -132.42441187])"
541,"array([ 155.48730022, -137.98265799])"
542,"array([ 130.9158782 , -117.72207709])"
543,"array([ 162.13530655, -109.36220122])"
544,"array([ 163.21426034, -115.33925373])"
545,"array([ 123.60186666, -119.26469429])"
546,"array([ 121.31585551, -118.40261006])"
547,"array([ 167.36928179, -139.0828957 ])"
548,"array([ 158.21503458, -137.09225702])"
549,"array([ 138.63775869, -134.57304266])"
550,"array([ 141.318686  , -141.47893919])"
551,"array([ 141.1720526 , -122.79858926])"
552,"array([ 146.95558122, -137.93614843])"
553,"array([ 138.47551082, -126.50760061])"
554,"array([ 124.80413403, -148.84087041])"
555,"array([ 158.33553161, -134.46881262])"
556,"array([ 145.21911613, -144.08254476])"
557,"array([ 160.92988656, -153.60717153])"
558,"array([ 135.67030567, -140.11181287])"
559,"array([ 147.32100165, -142.25281256])"
560,"array([ 159.19744754, -138.1121293 ])"
561,"array([ 152.95050439, -137.27850555])"
562,"array([ 134.55841488, -133.92052346])"
563,"array([ 140.0069569 , -133.61826209])"
564,"array([ 140.45894878, -129.61228848])"
565,"array([ 145.4715545 , -125.69602369])"
566,"array([ 119.07972491, -139.85123336])"
567,"array([ 131.55127876, -128.56277695])"
568,"array([ 141.92242554, -137.21512696])"
569,"array([ 144.58101212, -147.82792111])"
570,"array([ 149.23362598, -150.6433998 ])"
571,"array([ 147.1238775 , -141.92830418])"
572,"array([ 139.24680619, -139.73237599])"
573,"array([ 144.51174129, -152.75295895])"
574,"array([ 141.40767731, -134.57547494])"
575,"array([ 150.90049135, -116.75976417])"
576,"array([ 140.24580079, -131.56537192])"
577,"array([ 147.74543267, -129.57016252])"
578,"array([ 139.12732902, -131.50664373])"
579,"array([ 136.71266726, -129.21419633])"
580,"array([ 144.81060625, -127.02035014])"
581,"array([ 141.73153516, -140.66174982])"
582,"array([ 132.45263524, -130.85375975])"
583,"array([ 149.74952283, -153.35068388])"
584,"array([ 123.37357746, -121.96325691])"
585,"array([ 143.60305371, -133.5098332 ])"
586,"array([ 143.96596055, -152.21450606])"
587,"array([ 139.4744353 , -148.44860216])"
588,"array([ 141.84683765, -138.90983997])"
589,"array([ 144.68126163, -132.99043762])"
590,"array([ 141.1148356 , -141.85677138])"
591,"array([ 145.30690099, -147.47164919])"
592,"array([ 148.26391822, -141.29042184])"
593,"array([ 147.18953031, -128.33498283])"
594,"array([ 142.86175343, -114.68806993])"
595,"array([ 151.07385679, -133.89696179])"
596,"array([ 130.80062181, -133.8031307 ])"
597,"array([ 140.80034554, -142.12009248])"
598,"array([ 154.40592345, -131.02444107])"
599,"array([ 135.91006219, -145.15147731])"
600,"array([ 135.63160632, -139.12916157])"
601,"array([ 140.05318161, -138.14289455])"
602,"array([ 158.97274296, -116.91408031])"
603,"array([ 151.89553848, -123.83999809])"
604,"array([ 143.38520666, -129.92549737])"
605,"array([ 140.89069242, -128.0511207 ])"
606,"array([ 144.93622656, -121.23267669])"
607,"array([ 122.873945  , -118.41375482])"
608,"array([ 153.72400151, -151.21895847])"
609,"array([ 146.84109533, -140.99522871])"
610,"array([ 141.37997045, -140.74716678])"
611,"array([ 135.54772586, -143.51862412])"
612,"array([ 128.82341188, -122.4480004 ])"
613,"array([ 155.00135275, -131.26447492])"
614,"array([ 149.35880983, -144.9954626 ])"
615,"array([ 130.65176153, -120.5323529 ])"
616,"array([ 154.54358227, -135.30682691])"
617,"array([ 138.38814953, -141.20148093])"
618,"array([ 143.34322883, -106.98796685])"
619,"array([ 141.60124753, -122.39182703])"
620,"array([ 148.31391448, -110.45215033])"
621,"array([ 133.73169697, -113.40621207])"
622,"array([ 128.32704107, -113.46644855])"
623,"array([ 132.28276419, -136.6178778 ])"
624,"array([ 133.88589011, -136.19741959])"
625,"array([ 126.4340404 , -133.49828645])"
626,"array([ 131.89436049, -135.60117237])"
